customer1Email,customer1Account,customer1Password,customer2Account
tashfia.islam102938+juser10@gmail.com,01302610030,1234,01302610040
tashfia.islam102938+juser10@gmail.com,01302610030,1234,01302610041
tashfia.islam102938+juser11@gmail.com,01302610031,1234,01302610042
tashfia.islam102938+juser11@gmail.com,01302610031,1234,01302610043
tashfia.islam102938+juser12@gmail.com,01302610032,1234,01302610044
tashfia.islam102938+juser12@gmail.com,01302610032,1234,01302610045
tashfia.islam102938+juser13@gmail.com,01302610033,1234,01302610046
tashfia.islam102938+juser13@gmail.com,01302610033,1234,01302610047
tashfia.islam102938+juser14@gmail.com,01302610034,1234,01302610048
tashfia.islam102938+juser14@gmail.com,01302610034,1234,01302610049
